,time,home,visit,home_score,visit_score,score differential,time(seconds),quarter
2,12:00,Jump Ball Ingram vs. Lopez: Tip to Antetokounmpo,,0,0,0,0,Q1
3,11:46,,Lopez 3' Hook Shot (2 PTS) (Antetokounmpo 1 AST),2,0,2,14,Q1
4,11:33,James 24' 3PT Jump Shot (3 PTS) (Rondo 1 AST),,2,3,-1,27,Q1
5,11:16,James STEAL (1 STL),Lopez Lost Ball Turnover (P1.T1),2,3,-1,44,Q1
6,11:11,MISS Kuzma 8' Floating Jump Shot,,2,3,-1,49,Q1
7,11:09,Ingram REBOUND (Off:1 Def:0),,2,3,-1,51,Q1
8,11:06,MISS Rondo 25' 3PT Jump Shot,,2,3,-1,54,Q1
9,11:03,,Antetokounmpo REBOUND (Off:0 Def:1),2,3,-1,57,Q1
10,10:58,,Middleton 10' Turnaround Jump Shot (2 PTS) (Antetokounmpo 2 AST),4,3,1,62,Q1
11,10:43,Ingram 14' Turnaround Fadeaway (2 PTS) (James 1 AST),,4,5,-1,77,Q1
12,10:29,Rondo STEAL (1 STL),Lopez Lost Ball Turnover (P2.T2),4,5,-1,91,Q1
13,10:21,Kuzma Offensive Goaltending Turnover (P1.T1),,4,5,-1,99,Q1
14,10:12,LAKERS T.Foul (Def. 3 Sec Bullock ) (J.Capers),,4,5,-1,108,Q1
15,10:12,,Middleton Free Throw Technical (3 PTS),5,5,0,108,Q1
16,10:00,,MISS Middleton 12' Floating Jump Shot,5,5,0,120,Q1
17,9:56,,Middleton REBOUND (Off:1 Def:0),5,5,0,124,Q1
18,9:56,,Antetokounmpo Offensive Charge Foul (P1.T1) (D.Collins),5,5,0,124,Q1
19,9:56,,Antetokounmpo Offensive Foul Turnover (P1.T3),5,5,0,124,Q1
20,9:47,MISS James 25' 3PT Jump Shot,,5,5,0,133,Q1
21,9:45,Rondo REBOUND (Off:1 Def:0),,5,5,0,135,Q1
22,9:41,MISS Rondo 26' 3PT Jump Shot,,5,5,0,139,Q1
23,9:39,,Bledsoe REBOUND (Off:0 Def:1),5,5,0,141,Q1
24,9:35,,Bledsoe 3' Driving Layup (2 PTS),7,5,2,145,Q1
25,9:35,Ingram S.FOUL (P1.T1) (D.Collins),,7,5,2,145,Q1
26,9:35,,Bledsoe Free Throw 1 of 1 (3 PTS),8,5,3,145,Q1
27,9:26,MISS Rondo 26' 3PT Jump Shot,,8,5,3,154,Q1
28,9:23,,Antetokounmpo REBOUND (Off:0 Def:2),8,5,3,157,Q1
29,9:17,,MISS Middleton 26' 3PT Running Pull-Up Jump Shot,8,5,3,163,Q1
30,9:15,Ingram REBOUND (Off:1 Def:1),,8,5,3,165,Q1
31,9:06,MISS Kuzma 27' 3PT Jump Shot,,8,5,3,174,Q1
32,9:03,,Antetokounmpo REBOUND (Off:0 Def:3),8,5,3,177,Q1
33,8:53,,MISS Brogdon 1' Layup,8,5,3,187,Q1
34,8:51,Kuzma REBOUND (Off:0 Def:1),,8,5,3,189,Q1
35,8:47,James Out of Bounds - Bad Pass Turnover Turnover (P1.T2),,8,5,3,193,Q1
36,8:36,,MISS Bledsoe 25' 3PT Jump Shot,8,5,3,204,Q1
37,8:35,LAKERS Rebound,,8,5,3,205,Q1
38,8:13,Ingram 3' Driving Floating Jump Shot (4 PTS),,8,7,1,227,Q1
39,8:06,Kuzma P.FOUL (P1.T2) (J.DeRosa),,8,7,1,234,Q1
40,7:59,,MISS Antetokounmpo 26' 3PT Jump Shot,8,7,1,241,Q1
41,7:57,Ingram REBOUND (Off:1 Def:2),,8,7,1,243,Q1
42,7:49,MISS Rondo 24' 3PT Jump Shot,,8,7,1,251,Q1
43,7:46,,Antetokounmpo REBOUND (Off:0 Def:4),8,7,1,254,Q1
44,7:37,,MISS Bledsoe 24' 3PT Jump Shot,8,7,1,263,Q1
45,7:34,James REBOUND (Off:0 Def:1),,8,7,1,266,Q1
46,7:24,MISS Rondo 28' 3PT Jump Shot,,8,7,1,276,Q1
47,7:21,,Antetokounmpo REBOUND (Off:0 Def:5),8,7,1,279,Q1
48,7:18,,Antetokounmpo 1' Running Layup (2 PTS),10,7,3,282,Q1
49,6:58,Rondo 26' 3PT Jump Shot (3 PTS) (James 2 AST),,10,10,0,302,Q1
50,6:41,,MISS Lopez 27' 3PT Jump Shot,10,10,0,319,Q1
51,6:38,James REBOUND (Off:0 Def:2),,10,10,0,322,Q1
52,6:33,MISS Rondo  3PT Jump Shot,,10,10,0,327,Q1
53,6:28,,Antetokounmpo REBOUND (Off:0 Def:6),10,10,0,332,Q1
54,6:24,Rondo P.FOUL (P1.T3) (J.Capers),,10,10,0,336,Q1
55,6:24,LAKERS Timeout: Regular (Full 1 Short 0),,10,10,0,336,Q1
56,6:24,,SUB: Connaughton FOR Antetokounmpo,10,10,0,336,Q1
57,6:24,,SUB: Mirotic FOR Brogdon,10,10,0,336,Q1
58,6:10,,MISS Bledsoe 20' Step Back Jump Shot,10,10,0,350,Q1
59,6:08,James REBOUND (Off:0 Def:3),,10,10,0,352,Q1
60,6:03,MISS Bullock 24' 3PT Jump Shot,,10,10,0,357,Q1
61,6:00,,Connaughton REBOUND (Off:0 Def:1),10,10,0,360,Q1
62,5:46,,MISS Lopez 2' Layup,10,10,0,374,Q1
63,5:44,,Connaughton REBOUND (Off:1 Def:1),10,10,0,376,Q1
64,5:38,,Connaughton 21' Pullup Jump Shot (2 PTS) (Middleton 1 AST),12,10,2,382,Q1
65,5:09,MISS James 30' 3PT Jump Shot,,12,10,2,411,Q1
66,5:07,,Lopez REBOUND (Off:0 Def:1),12,10,2,413,Q1
67,4:55,,Lopez 29' 3PT Jump Shot (5 PTS) (Mirotic 1 AST),15,10,5,425,Q1
68,4:51,LAKERS Timeout: Regular (Full 2 Short 0),,15,10,5,429,Q1
69,4:51,SUB: Hart FOR Kuzma,,15,10,5,429,Q1
70,4:51,SUB: Muscala FOR Rondo,,15,10,5,429,Q1
71,4:51,,SUB: Ilyasova FOR Bledsoe,15,10,5,429,Q1
72,4:51,,SUB: Canaan FOR Lopez,15,10,5,429,Q1
