,time,score,home,visit,quarter
0,,,,,
1,,,,,Q1
2,12:00,,"


              Jump Ball Drummond vs. Lopez: Tip to Jackson
            ",,
3,11:38,0 - 3,"


              Ellington 27' 3PT Jump Shot (3 PTS) (Jackson 1 AST)
            ",,
4,11:10,,,"
              MISS Antetokounmpo 28' 3PT Jump Shot
              

",
5,11:08,,,"
              Bledsoe REBOUND (Off:1 Def:0)
              

",
6,11:02,,,"
              MISS Middleton  3PT Jump Shot
              

",
7,11:00,,"


              Brown REBOUND (Off:0 Def:1)
            ",,
8,10:49,0 - 5,"


              Ellington 2' Driving Layup (5 PTS) (Drummond 1 AST)
            ",,
9,10:34,2 - 5,,"
              Brown 2' Driving Layup (2 PTS)
              

",
10,10:23,2 - 7,"


              Drummond 1' Cutting Dunk Shot (2 PTS) (Griffin 1 AST)
            ",,
11,10:16,,"


              Brown S.FOUL (P1.T1) (K.Mauer)
            ",,
12,10:16,,,"
              MISS Middleton Free Throw 1 of 2
              

",
13,10:16,,,"
              Bucks Rebound
              

",
14,10:16,3 - 7,,"
              Middleton Free Throw 2 of 2 (1 PTS)
              

",
15,10:01,,"


              MISS Brown  3PT Jump Shot
            ",,
16,9:59,,"


              Drummond REBOUND (Off:1 Def:0)
            ",,
17,9:58,,"


              MISS Drummond 1' Layup
            ",,
18,9:56,,"


              Drummond REBOUND (Off:2 Def:0)
            ",,
19,9:55,,"


              MISS Drummond 1' Layup
            ","
              Lopez BLOCK (1 BLK)
              

",
20,9:51,,,"
              Middleton REBOUND (Off:0 Def:1)
              

",
21,9:38,5 - 7,,"
              Lopez 17' Fadeaway Jumper (2 PTS) (Bledsoe 1 AST)
              

",
22,9:20,5 - 9,"


              Jackson 9' Floating Jump Shot (2 PTS)
            ",,
23,9:13,,"


              Griffin P.FOUL (P1.T2) (K.Mauer)
            ",,
24,9:06,,,"
              MISS Bledsoe 27' 3PT Jump Shot
              

",
25,9:03,,,"
              Antetokounmpo REBOUND (Off:1 Def:0)
              

",
26,9:03,7 - 9,,"
              Antetokounmpo 2' Dunk (2 PTS)
              

",
27,9:03,,"


              Brown S.FOUL (P2.T3) (T.Brown)
            ",,
28,9:03,8 - 9,,"
              Antetokounmpo Free Throw 1 of 1 (3 PTS)
              

",
29,8:48,,"


              MISS Jackson 6' Driving Floating Jump Shot
            ",,
30,8:45,,"


              Drummond REBOUND (Off:3 Def:0)
            ",,
31,8:45,8 - 11,"


              Drummond 2' Putback Layup (4 PTS)
            ",,
32,8:42,,"


              Jackson P.FOUL (P1.T4) (K.Mauer)
            ",,
33,8:36,,"


              Drummond STEAL (1 STL)
            ","
              Bledsoe Bad Pass Turnover (P1.T1)
              

",
34,8:34,,"


              MISS Drummond 1' Running Layup
            ",,
35,8:33,,"


              Brown REBOUND (Off:1 Def:1)
            ",,
36,8:32,8 - 13,"


              Brown 1' Tip Layup Shot (2 PTS)
            ",,
37,8:19,,,"
              Lopez Offensive Charge Foul (P1.T1) (D.Collins)
              

",
38,8:19,,,"
              Lopez Offensive Foul Turnover (P1.T2)
              

",
39,8:13,,,"
              Antetokounmpo P.FOUL (P1.T2) (K.Mauer)
              

",
40,8:03,8 - 15,"


              Griffin 2' Layup (2 PTS) (Drummond 2 AST)
            ",,
41,8:03,,,"
              Bucks Timeout: Regular (Reg.1 Short 0)
              

",
42,7:45,,,"
              MISS Antetokounmpo 5' Turnaround Hook Shot
              

",
43,7:43,,"


              Griffin REBOUND (Off:0 Def:1)
            ",,
44,7:34,8 - 18,"


              Jackson  3PT Jump Shot (5 PTS) (Griffin 2 AST)
            ",,
45,7:22,,,"
              MISS Middleton 9' Pullup Jump Shot
              

",
46,7:20,,"


              Brown REBOUND (Off:1 Def:2)
            ",,
47,7:03,,"


              MISS Jackson  3PT Pullup Jump Shot
            ",,
48,7:00,,,"
              Antetokounmpo REBOUND (Off:1 Def:1)
              

",
49,6:59,,"


              Drummond S.FOUL (P1.PN) (D.Collins)
            ",,
50,6:59,,,"
              MISS Antetokounmpo Free Throw 1 of 2
              

",
51,6:59,,,"
              Bucks Rebound
              

",
