,+/-,3P%,3PA,3PM,AST,BLK,DREB,FG%,FGA,FGM,FT%,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TEAM,TOV
Khris Middleton,4,40.0,5,2,1,0,3,45.5,11,5,85.7,7,6,30:01,1,1,18,4,0,Milwaukee Bucks,1
Giannis Antetokounmpo,22,33.3,6,2,3,4,7,52.2,23,12,75.0,20,15,31:55,2,2,41,9,1,Milwaukee Bucks,1
Brook Lopez,9,0.0,1,0,3,5,5,75.0,4,3,100,1,1,26:17,0,2,7,5,0,Milwaukee Bucks,2
Sterling Brown,9,0.0,2,0,6,0,10,42.9,7,3,75.0,4,3,27:23,3,4,9,13,1,Milwaukee Bucks,3
Eric Bledsoe,13,33.3,3,1,5,1,2,58.3,12,7,100,1,1,27:43,1,0,16,3,2,Milwaukee Bucks,2
Pat Connaughton,12,0.0,0,0,1,0,4,66.7,3,2,0.0,0,0,25:38,1,0,4,5,1,Milwaukee Bucks,1
Ersan Ilyasova,14,0.0,2,0,3,0,8,25.0,4,1,50.0,4,2,17:22,1,5,4,9,0,Milwaukee Bucks,1
George Hill,29,50.0,2,1,2,0,1,66.7,3,2,100,2,2,19:38,0,3,7,1,1,Milwaukee Bucks,2
Nikola Mirotic,15,60.0,5,3,1,0,2,57.1,7,4,50.0,2,1,19:38,1,2,12,3,0,Milwaukee Bucks,2
D.J. Wilson,-2,100,1,1,0,0,1,100,3,3,0.0,0,0,5:45,0,1,7,1,0,Milwaukee Bucks,1
Tony Snell,-5,0.0,1,0,0,0,0,0.0,1,0,0.0,0,0,4:20,0,1,0,0,0,Milwaukee Bucks,0
Tim Frazier,-5,0.0,0,0,2,0,1,100,1,1,0.0,0,0,4:20,0,0,2,1,0,Milwaukee Bucks,1
Malcolm Brogdon,,,,,,,,,,DNP - Coach's Decision                  ,,,,,,,,,,Milwaukee Bucks,
Milwaukee Bucks Totals:,23,35.7,28,10,27,10,44,54.4,79,43,75.6,41,31,,10,21,127,54,6,Milwaukee Bucks,17
Bruce Brown,3,0.0,2,0,0,0,4,20.0,5,1,0.0,0,0,16:07,1,5,2,5,0,Detroit Pistons,0
Blake Griffin,-8,66.7,6,4,6,0,4,53.3,15,8,100,2,2,27:32,1,6,22,5,0,Detroit Pistons,4
Andre Drummond,-11,0.0,0,0,3,0,6,43.8,16,7,33.3,3,1,33:02,6,5,15,12,1,Detroit Pistons,2
Wayne Ellington,-24,33.3,3,1,2,0,2,33.3,6,2,0.0,0,0,28:32,0,0,5,2,0,Detroit Pistons,0
Reggie Jackson,-17,55.6,9,5,7,0,2,45.0,20,9,100,3,3,31:33,1,3,26,3,1,Detroit Pistons,0
Luke Kennard,-18,33.3,3,1,1,1,1,45.5,11,5,0.0,0,0,32:28,0,3,11,1,2,Detroit Pistons,1
Langston Galloway,-22,28.6,7,2,3,0,2,36.4,11,4,0.0,0,0,32:22,0,3,10,2,2,Detroit Pistons,0
Ish Smith,-11,0.0,0,0,1,0,2,16.7,6,1,0.0,0,0,12:07,0,0,2,2,1,Detroit Pistons,1
Thon Maker,-12,0.0,3,0,1,0,2,33.3,6,2,66.7,3,2,14:58,1,5,6,3,0,Detroit Pistons,2
Glenn Robinson,-5,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,2:39,0,1,0,0,0,Detroit Pistons,0
Jose Calderon,5,0.0,0,0,2,0,0,0.0,0,0,0.0,0,0,4:20,0,0,0,0,1,Detroit Pistons,0
Khyri Thomas,5,0.0,1,0,0,0,1,50.0,4,2,100,1,1,4:20,0,0,5,1,0,Detroit Pistons,0
Zaza Pachulia,,,,,,,,,,DNP - Coach's Decision                  ,,,,,,,,,,Detroit Pistons,
Detroit Pistons Totals:,-23,38.2,34,13,26,1,26,41.0,100,41,75.0,12,9,,10,31,104,36,8,Detroit Pistons,10
