,time,home,visit,quarter,time_seconds,home_score,visit_score,score differential
0,12:00,Jump Ball Ingram vs. Lopez: Tip to Antetokounmpo,,Q1,0,0,0,0
1,11:59,,,Q1,1,0,0,0
2,11:58,,,Q1,2,0,0,0
3,11:57,,,Q1,3,0,0,0
4,11:56,,,Q1,4,0,0,0
5,11:55,,,Q1,5,0,0,0
6,11:54,,,Q1,6,0,0,0
7,11:53,,,Q1,7,0,0,0
8,11:52,,,Q1,8,0,0,0
9,11:51,,,Q1,9,0,0,0
10,11:50,,,Q1,10,0,0,0
11,11:49,,,Q1,11,0,0,0
12,11:48,,,Q1,12,0,0,0
13,11:47,,,Q1,13,0,0,0
14,11:46,,Lopez 3' Hook Shot (2 PTS) (Antetokounmpo 1 AST),Q1,14,2,0,2
15,11:45,,,Q1,15,2,0,2
16,11:44,,,Q1,16,2,0,2
17,11:43,,,Q1,17,2,0,2
18,11:42,,,Q1,18,2,0,2
19,11:41,,,Q1,19,2,0,2
20,11:40,,,Q1,20,2,0,2
21,11:39,,,Q1,21,2,0,2
22,11:38,,,Q1,22,2,0,2
23,11:37,,,Q1,23,2,0,2
24,11:36,,,Q1,24,2,0,2
25,11:35,,,Q1,25,2,0,2
26,11:34,,,Q1,26,2,0,2
27,11:33,James 24' 3PT Jump Shot (3 PTS) (Rondo 1 AST),,Q1,27,2,3,-1
28,11:32,,,Q1,28,2,3,-1
29,11:31,,,Q1,29,2,3,-1
30,11:30,,,Q1,30,2,3,-1
31,11:29,,,Q1,31,2,3,-1
32,11:28,,,Q1,32,2,3,-1
33,11:27,,,Q1,33,2,3,-1
34,11:26,,,Q1,34,2,3,-1
35,11:25,,,Q1,35,2,3,-1
36,11:24,,,Q1,36,2,3,-1
37,11:23,,,Q1,37,2,3,-1
38,11:22,,,Q1,38,2,3,-1
39,11:21,,,Q1,39,2,3,-1
40,11:20,,,Q1,40,2,3,-1
41,11:19,,,Q1,41,2,3,-1
42,11:18,,,Q1,42,2,3,-1
43,11:17,,,Q1,43,2,3,-1
44,11:16,James STEAL (1 STL),Lopez Lost Ball Turnover (P1.T1),Q1,44,2,3,-1
45,11:15,,,Q1,45,2,3,-1
46,11:14,,,Q1,46,2,3,-1
47,11:13,,,Q1,47,2,3,-1
48,11:12,,,Q1,48,2,3,-1
49,11:11,MISS Kuzma 8' Floating Jump Shot,,Q1,49,2,3,-1
50,11:10,,,Q1,50,2,3,-1
51,11:09,Ingram REBOUND (Off:1 Def:0),,Q1,51,2,3,-1
52,11:08,,,Q1,52,2,3,-1
53,11:07,,,Q1,53,2,3,-1
54,11:06,MISS Rondo 25' 3PT Jump Shot,,Q1,54,2,3,-1
55,11:05,,,Q1,55,2,3,-1
56,11:04,,,Q1,56,2,3,-1
57,11:03,,Antetokounmpo REBOUND (Off:0 Def:1),Q1,57,2,3,-1
58,11:02,,,Q1,58,2,3,-1
59,11:01,,,Q1,59,2,3,-1
60,11:00,,,Q1,60,2,3,-1
61,10:59,,,Q1,61,2,3,-1
62,10:58,,Middleton 10' Turnaround Jump Shot (2 PTS) (Antetokounmpo 2 AST),Q1,62,4,3,1
63,10:57,,,Q1,63,4,3,1
64,10:56,,,Q1,64,4,3,1
65,10:55,,,Q1,65,4,3,1
66,10:54,,,Q1,66,4,3,1
67,10:53,,,Q1,67,4,3,1
68,10:52,,,Q1,68,4,3,1
69,10:51,,,Q1,69,4,3,1
70,10:50,,,Q1,70,4,3,1
71,10:49,,,Q1,71,4,3,1
72,10:48,,,Q1,72,4,3,1
73,10:47,,,Q1,73,4,3,1
74,10:46,,,Q1,74,4,3,1
75,10:45,,,Q1,75,4,3,1
76,10:44,,,Q1,76,4,3,1
77,10:43,Ingram 14' Turnaround Fadeaway (2 PTS) (James 1 AST),,Q1,77,4,5,-1
78,10:42,,,Q1,78,4,5,-1
79,10:41,,,Q1,79,4,5,-1
80,10:40,,,Q1,80,4,5,-1
81,10:39,,,Q1,81,4,5,-1
82,10:38,,,Q1,82,4,5,-1
83,10:37,,,Q1,83,4,5,-1
84,10:36,,,Q1,84,4,5,-1
85,10:35,,,Q1,85,4,5,-1
86,10:34,,,Q1,86,4,5,-1
87,10:33,,,Q1,87,4,5,-1
88,10:32,,,Q1,88,4,5,-1
89,10:31,,,Q1,89,4,5,-1
90,10:30,,,Q1,90,4,5,-1
91,10:29,Rondo STEAL (1 STL),Lopez Lost Ball Turnover (P2.T2),Q1,91,4,5,-1
92,10:28,,,Q1,92,4,5,-1
93,10:27,,,Q1,93,4,5,-1
94,10:26,,,Q1,94,4,5,-1
95,10:25,,,Q1,95,4,5,-1
96,10:24,,,Q1,96,4,5,-1
97,10:23,,,Q1,97,4,5,-1
98,10:22,,,Q1,98,4,5,-1
99,10:21,Kuzma Offensive Goaltending Turnover (P1.T1),,Q1,99,4,5,-1
100,10:20,,,Q1,100,4,5,-1
101,10:19,,,Q1,101,4,5,-1
102,10:18,,,Q1,102,4,5,-1
103,10:17,,,Q1,103,4,5,-1
104,10:16,,,Q1,104,4,5,-1
105,10:15,,,Q1,105,4,5,-1
106,10:14,,,Q1,106,4,5,-1
107,10:13,,,Q1,107,4,5,-1
108,10:12,LAKERS T.Foul (Def. 3 Sec Bullock ) (J.Capers),,Q1,108,4,5,-1
109,10:12,,Middleton Free Throw Technical (3 PTS),Q1,108,5,5,0
110,10:11,,,Q1,109,5,5,0
111,10:10,,,Q1,110,5,5,0
112,10:09,,,Q1,111,5,5,0
113,10:08,,,Q1,112,5,5,0
114,10:07,,,Q1,113,5,5,0
115,10:06,,,Q1,114,5,5,0
116,10:05,,,Q1,115,5,5,0
117,10:04,,,Q1,116,5,5,0
118,10:03,,,Q1,117,5,5,0
119,10:02,,,Q1,118,5,5,0
120,10:01,,,Q1,119,5,5,0
121,10:00,,MISS Middleton 12' Floating Jump Shot,Q1,120,5,5,0
122,9:59,,,Q1,121,5,5,0
123,9:58,,,Q1,122,5,5,0
124,9:57,,,Q1,123,5,5,0
125,9:56,,Middleton REBOUND (Off:1 Def:0),Q1,124,5,5,0
126,9:56,,Antetokounmpo Offensive Charge Foul (P1.T1) (D.Collins),Q1,124,5,5,0
127,9:56,,Antetokounmpo Offensive Foul Turnover (P1.T3),Q1,124,5,5,0
128,9:55,,,Q1,125,5,5,0
129,9:54,,,Q1,126,5,5,0
130,9:53,,,Q1,127,5,5,0
131,9:52,,,Q1,128,5,5,0
132,9:51,,,Q1,129,5,5,0
133,9:50,,,Q1,130,5,5,0
134,9:49,,,Q1,131,5,5,0
135,9:48,,,Q1,132,5,5,0
136,9:47,MISS James 25' 3PT Jump Shot,,Q1,133,5,5,0
137,9:46,,,Q1,134,5,5,0
138,9:45,Rondo REBOUND (Off:1 Def:0),,Q1,135,5,5,0
139,9:44,,,Q1,136,5,5,0
140,9:43,,,Q1,137,5,5,0
141,9:42,,,Q1,138,5,5,0
142,9:41,MISS Rondo 26' 3PT Jump Shot,,Q1,139,5,5,0
143,9:40,,,Q1,140,5,5,0
144,9:39,,Bledsoe REBOUND (Off:0 Def:1),Q1,141,5,5,0
145,9:38,,,Q1,142,5,5,0
146,9:37,,,Q1,143,5,5,0
